"Superficie"	"Cabeceira"	"Vertice"	"Latitude"	"Longitude"	"Altitude_MSL"	"S_m"	"L_m"
"OLS_aproximacao_RWY03_3D"	"03 deslocada"	"1"	"-17.05919312"	"-51.08828359"	"760.0"	"-960.0"	"-150.0"
"OLS_aproximacao_RWY03_3D"	"03 deslocada"	"2"	"-17.05783847"	"-51.09072371"	"760.0"	"-960.0"	"150.0"
"OLS_aproximacao_RWY03_3D"	"03 deslocada"	"3"	"-17.07929336"	"-51.10845779"	"820.0"	"-3960.0"	"600.0"
"OLS_aproximacao_RWY03_3D"	"03 deslocada"	"4"	"-17.08471197"	"-51.09869731"	"820.0"	"-3960.0"	"-600.0"
"OLS_aproximacao_RWY03_3D"	"03 deslocada"	"5"	"-17.05919312"	"-51.08828359"	"760.0"	"-960.0"	"-150.0"
"OLS_aproximacao_RWY21_3D"	"21"	"1"	"-17.04181284"	"-51.07786890"	"760.0"	"1260.0"	"-150.0"
"OLS_aproximacao_RWY21_3D"	"21"	"2"	"-17.04045819"	"-51.08030902"	"760.0"	"1260.0"	"150.0"
"OLS_aproximacao_RWY21_3D"	"21"	"3"	"-17.01493934"	"-51.06989530"	"820.0"	"4260.0"	"600.0"
"OLS_aproximacao_RWY21_3D"	"21"	"4"	"-17.02035795"	"-51.06013482"	"820.0"	"4260.0"	"-600.0"
"OLS_aproximacao_RWY21_3D"	"21"	"5"	"-17.04181284"	"-51.07786890"	"760.0"	"1260.0"	"-150.0"
"OLS_subida_decolagem_RWY03_3D"	"03"	"1"	"-17.04154191"	"-51.07835693"	"760.0"	"1260.0"	"-90.0"
"OLS_subida_decolagem_RWY03_3D"	"03"	"2"	"-17.04072912"	"-51.07982100"	"760.0"	"1260.0"	"90.0"
"OLS_subida_decolagem_RWY03_3D"	"03"	"3"	"-16.98633992"	"-51.05600970"	"889.6"	"7740.0"	"900.0"
"OLS_subida_decolagem_RWY03_3D"	"03"	"4"	"-16.91963721"	"-51.01603982"	"1060.0"	"16260.0"	"900.0"
"OLS_subida_decolagem_RWY03_3D"	"03"	"5"	"-16.92776513"	"-51.00139910"	"1060.0"	"16260.0"	"-900.0"
"OLS_subida_decolagem_RWY03_3D"	"03"	"6"	"-16.99446784"	"-51.04136898"	"889.6"	"7740.0"	"-900.0"
"OLS_subida_decolagem_RWY03_3D"	"03"	"7"	"-17.04154191"	"-51.07835693"	"760.0"	"1260.0"	"-90.0"
"OLS_subida_decolagem_RWY21_3D_TODA2600"	"21"	"1"	"-17.06236693"	"-51.09083578"	"760.0"	"-1400.0"	"-90.0"
"OLS_subida_decolagem_RWY21_3D_TODA2600"	"21"	"2"	"-17.06155414"	"-51.09229986"	"760.0"	"-1400.0"	"90.0"
"OLS_subida_decolagem_RWY21_3D_TODA2600"	"21"	"3"	"-17.10862821"	"-51.12928780"	"889.6"	"-7880.0"	"900.0"
"OLS_subida_decolagem_RWY21_3D_TODA2600"	"21"	"4"	"-17.17533092"	"-51.16925768"	"1060.0"	"-16400.0"	"900.0"
"OLS_subida_decolagem_RWY21_3D_TODA2600"	"21"	"5"	"-17.18345884"	"-51.15461696"	"1060.0"	"-16400.0"	"-900.0"
"OLS_subida_decolagem_RWY21_3D_TODA2600"	"21"	"6"	"-17.11675614"	"-51.11464708"	"889.6"	"-7880.0"	"-900.0"
"OLS_subida_decolagem_RWY21_3D_TODA2600"	"21"	"7"	"-17.06236693"	"-51.09083578"	"760.0"	"-1400.0"	"-90.0"
"OLS_transicao_lateral_esquerda_faixa_3D"	"03/21"	"1"	"-17.06023231"	"-51.09204976"	"760.0"	"-1260.0"	"140.0"
"OLS_transicao_lateral_esquerda_faixa_3D"	"03/21"	"2"	"-17.04050334"	"-51.08022768"	"760.0"	"1260.0"	"140.0"
"OLS_transicao_lateral_esquerda_faixa_3D"	"03/21"	"3"	"-17.03908096"	"-51.08278981"	"805.0"	"1260.0"	"455.0"
"OLS_transicao_lateral_esquerda_faixa_3D"	"03/21"	"4"	"-17.05880993"	"-51.09461189"	"805.0"	"-1260.0"	"455.0"
"OLS_transicao_lateral_esquerda_faixa_3D"	"03/21"	"5"	"-17.06023231"	"-51.09204976"	"760.0"	"-1260.0"	"140.0"
"OLS_transicao_lateral_direita_faixa_3D"	"03/21"	"1"	"-17.06149666"	"-51.08977232"	"760.0"	"-1260.0"	"-140.0"
"OLS_transicao_lateral_direita_faixa_3D"	"03/21"	"2"	"-17.04176769"	"-51.07795024"	"760.0"	"1260.0"	"-140.0"
"OLS_transicao_lateral_direita_faixa_3D"	"03/21"	"3"	"-17.04319007"	"-51.07538811"	"805.0"	"1260.0"	"-455.0"
"OLS_transicao_lateral_direita_faixa_3D"	"03/21"	"4"	"-17.06291904"	"-51.08721019"	"805.0"	"-1260.0"	"-455.0"
"OLS_transicao_lateral_direita_faixa_3D"	"03/21"	"5"	"-17.06149666"	"-51.08977232"	"760.0"	"-1260.0"	"-140.0"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"1"	"-17.01968417"	"-51.06623480"	"805.0"	"4000.0"	"0.0"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"2"	"-17.01822913"	"-51.06914181"	"805.0"	"3984.8"	"348.6"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"3"	"-17.01702349"	"-51.07216952"	"805.0"	"3939.2"	"694.6"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"4"	"-17.01607643"	"-51.07529487"	"805.0"	"3863.7"	"1035.3"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"5"	"-17.01539516"	"-51.07849408"	"805.0"	"3758.8"	"1368.1"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"6"	"-17.01498487"	"-51.08174281"	"805.0"	"3625.2"	"1690.5"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"7"	"-17.01484867"	"-51.08501633"	"805.0"	"3464.1"	"2000.0"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"8"	"-17.01498761"	"-51.08828972"	"805.0"	"3276.6"	"2294.3"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"9"	"-17.01540062"	"-51.09153808"	"805.0"	"3064.2"	"2571.2"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"10"	"-17.01608457"	"-51.09473667"	"805.0"	"2828.4"	"2828.4"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"11"	"-17.01703424"	"-51.09786117"	"805.0"	"2571.2"	"3064.2"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"12"	"-17.01824241"	"-51.10088778"	"805.0"	"2294.3"	"3276.6"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"13"	"-17.01969989"	"-51.10379348"	"805.0"	"2000.0"	"3464.1"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"14"	"-17.02139558"	"-51.10655615"	"805.0"	"1690.5"	"3625.2"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"15"	"-17.02331658"	"-51.10915476"	"805.0"	"1368.1"	"3758.8"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"16"	"-17.02544827"	"-51.11156954"	"805.0"	"1035.3"	"3863.7"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"17"	"-17.02777442"	"-51.11378212"	"805.0"	"694.6"	"3939.2"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"18"	"-17.03027733"	"-51.11577564"	"805.0"	"348.6"	"3984.8"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"19"	"-17.03293795"	"-51.11753494"	"805.0"	"0.0"	"4000.0"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"20"	"-17.03573603"	"-51.11904663"	"805.0"	"-348.6"	"3984.8"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"21"	"-17.03865029"	"-51.12029920"	"805.0"	"-694.6"	"3939.2"
"OLS_horizontal_interna_805MSL_3D"	"03/21"	"22"	"-17.04165853"	"-51.12128313"	"805.0"	"-1035.3"	"3863.7"
